#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
97,Parsva Sarvangasana,Pārśva Sarvāngāsana,226,9,252-253,254-255,,184,"97 / Parsva Sarvangasana
Side shoulderstand. Technique: 1. Lateral twist of trunk. 2. Weight on one elbow and wrist. (Image 254). Effects: Strengthens wrists, exercises liver, pancreas and spleen.
1. Lateral twist of trunk. 2. Weight on one elbow and wrist. (Image 254). Effects: Strengthens wrists, exercises liver, pancreas and spleen.
Strengthens wrists, exercises liver/pancreas/spleen.
",,,,
98,Setu Bandha Sarvangasana,Setu Bandhāsana,227,10,256-258,259,nan; Alternate names: Uttana Mayurasana,185,"98 / Setu Bandha Sarvangasana
Bridge formation. Technique: 1. From Sarvangasana, drop legs back straight to floor. (Image 259). Effects: Backward movement removes neck strain. Sound mind and body.
1. From Sarvangasana, drop legs back straight to floor. (Image 259). Effects: Backward movement removes neck strain. Sound mind and body.
backward movement of spine, healthy nervous system.
",,,,
99,Eka Pada Setu Bandha Sarvangasana,Eka Pāda Setu Bandha Sarvāngāsana (Eka Pāda Uttāna Mayūrāsana),229,11,,260,nan; Alternate names: Eka Pada Uttana Mayurasana,186,"99 / Eka Pada Uttana Mayurasana
One-leg bridge. (Image 260).
No technique steps provided.
Strengthens legs and increases spinal flexibility.
",,,,
100,Urdhva Padmasana in Sarvangasana,Ūrdhva Padmāsana in Sarvāngāsana,230,4,,261,,187,"100 / Urdhva Padmasana in Sarvangasana
Urdhva means above, high. Padma means a lotus. In this Sarvangasana variation, the legs are bent at the knees and crossed so that the right foot rests on the left thigh and the left foot on the right thigh as in Padmasana (lotus). (Images 104, 261).
No technique steps provided.
No benefits listed.
",,,,
101,Parsva Urdhva Padmasana in Sarvangasana,Pārśva Ūrdhva Padmāsana in Sarvāngāsana,231,7,,262-265,,188,"101 / Parsva Urdhva Padmasana in Sarvangasana
Parsva means flank. This is the lateral-twist variation of Urdhva Padmasana in Sarvangasana (Images 262–265). The cycle then continues into an arched-back variation (Image 266) following the technique of Setu Bandha Sarvangasana (Image 259).
of Setu Bandha Sarvangasana (Image 259).
No benefits listed.
",,,,
102,Uttana Padma Mayiirasana,Uttāna Padma Mayūrāsana,231,25,266,267,,189,"102 / Uttana Padma Mayiirasana
Intense lotus peacock bridge. (Image 267).
No technique steps provided.
Deep abdominal stretch, advanced extension.
",,,,
103,Pindasana in Sarvangasana,Piṇdāsana in Sarvāngāsana,234,5,268,269,,190,"103 / Pindasana in Sarvangasana
Embryo in shoulderstand. Technique: 1. Lotus in shoulderstand. 2. Lower legs towards head. 3. Clasp legs. (Image 269). Effects: Resembles embryo in womb.
1. Lotus in shoulderstand. 2. Lower legs towards head. 3. Clasp legs. (Image 269). Effects: Resembles embryo in womb.
Resembles embryo, tones spine through forward movement.
",,,,
104,Parsva Pindasana in Sarvangasana,Pārśva Piṇdāsana in Sarvāngāsana,234,8,,270-271,,191,"104 / Parsva Pindasana in Sarvangasana
Side embryo in shoulderstand. Technique: 1. From Pindasana, turn hips sideways and lower both knees to floor. (Image 270 and 271). Effects: Relieves chronic constipation and stomach griping.
1. From Pindasana, turn hips sideways and lower both knees to floor. (Image 270 and 271). Effects: Relieves chronic constipation and stomach griping.
Relieves chronic constipation and stomach griping.
",,,,
105,Jathara Parivartanasana,Jạthara Parivartanāsana,237,5,272-273,274-275,,193,"105 / Jathara Parivartanasana
Belly turning. Technique: 1. Lie flat. 2. Legs perpendicular. 3. Lower both legs sideways to the floor until toes touch hand. (Image 274 and 275). Effects: Reduces excess fat. Eradicates sluggishness of liver and spleen.
1. Lie flat. 2. Legs perpendicular. 3. Lower both legs sideways to the floor until toes touch hand. (Image 274 and 275). Effects: Reduces excess fat. Eradicates sluggishness of liver and spleen.
Reduces fat, eradicates liver/spleen/pancreas sluggishness.
",,,,
106,Urdhva Prasarita Padasana,Ūrdhva Prasārita Ekapādāsana,240,1,,276-279,,195,"106 / Urdhva Prasarita Padasana
Upward extended foot. Technique: 1. Raise legs to 30, 60 and 90 degrees. (Image 277-279). Effects: Strengthens lumbar region, tones organs.
1. Raise legs to 30, 60 and 90 degrees. (Image 277-279). Effects: Strengthens lumbar region, tones organs.
Reduces abdominal fat, strengthens lumbar region.
",,,,
107,Chakrasana,Chakrāsana,242,4,,280-283,,196,"107 / Chakrasana
Wheel pose (rolling). Technique: 1. From Halasana, place hands by ears and roll over head into Downward Dog. (Image 280-283). Effects: Blood circulates around spinal column.
1. From Halasana, place hands by ears and roll over head into Downward Dog. (Image 280-283). Effects: Blood circulates around spinal column.
Tones abdominal organs and spine.
",,,,
108,Supta Padangusthasana,Supta Pādāngụṣtāsana,244,13,284,285-287,,197,"108 / Supta Padangusthasana
Reclining big toe. Technique: 1. Lie flat. 2. Catch big toe. 3. Pull chin to knee (Image 285); Move leg sideways to floor (Image 287). Effects: Benefits sciatica and leg paralysis. Removes hip stiffness.
1. Lie flat. 2. Catch big toe. 3. Pull chin to knee (Image 285); Move leg sideways to floor (Image 287). Effects: Benefits sciatica and leg paralysis. Removes hip stiffness.
Therapeutic for sciatica and leg paralysis.
",,,,
109,Anantasana,Anantāsana,246,9,288-289,290,,198,"109 / Anantasana
Dedicated to Visnu's couch. Technique: 1. Lie on side, catch big toe, stretch leg up vertically. (Image 290). Effects: Pelvic region benefits, tones hamstrings.
1. Lie on side, catch big toe, stretch leg up vertically. (Image 290). Effects: Pelvic region benefits, tones hamstrings.
Dedicated to Vishnu's serpent couch, tones hamstrings.
",,,,
110,Uttana Padasana,Uttāna Pādāsana,248,9,291,292,,201,"110 / Uttana Padasana
Extended foot. Technique: 1. Arch back, crown of head to floor. 2. Lift legs and arms to 45 degrees. (Image 292). Effects: Expansion of chestwall, tones neck/back.
1. Arch back, crown of head to floor. 2. Lift legs and arms to 45 degrees. (Image 292). Effects: Expansion of chestwall, tones neck/back.
Expansion of chest wall, regulates thyroid activity.
",,,,
111,Setu Bandhasana,Setu Bandha Sarvāngāsana,249,14,293-295,296,,202,"111 / Setu Bandhasana
Bridge construction. Technique: 1. Lie on back. 2. Crown of head and feet on floor, arch trunk. 3. Fold arms across chest. (Image 296). Effects: Back extensor muscles grow powerful. Adrenal glands bathed in blood.
1. Lie on back. 2. Crown of head and feet on floor, arch trunk. 3. Fold arms across chest. (Image 296). Effects: Back extensor muscles grow powerful. Adrenal glands bathed in blood.
Strengthens neck, tones entire spine, bathes glands in blood.
",,,,
112,Bharadvajasana I,Bharadvājāsana I,251,1,,297-298,,204,"112 / Bharadvajasana I
Dedicated to Bharadvaja. Technique: 1. Seated, feet beside right hip. 2. Twist trunk left, place right hand under left knee. 3. Clasp right arm with left hand from behind. (Image 297 and 298). Effects: Blessing for arthritis.
1. Seated, feet beside right hip. 2. Twist trunk left, place right hand under left knee. 3. Clasp right arm with left hand from behind. (Image 297 and 298). Effects: Blessing for arthritis.
Works dorsal/lumbar spine, supplemental for stiff backs.
",,,,
113,Bharadvajasana II,Bharadvājāsana II,253,2,,299-300,,205,"113 / Bharadvajasana II
Technique: 1. One leg half lotus, other Virasana style. 2. Twist and catch foot from behind. (Image 299 and 300). Effects: Knees and shoulders flexible.
1. One leg half lotus, other Virasana style. 2. Twist and catch foot from behind. (Image 299 and 300). Effects: Knees and shoulders flexible.
Increases knee/shoulder flexibility, blessing for arthritic.
",,,,
114,Marichyasana III,Marīchyāsana III,254,10,301-302,303-304,,206,"114 / Marichyasana III
Sitting lateral twist. Technique: 1. One knee bent up, other leg straight. 2. Twist 90 degrees, wrap arm around bent knee, clasp hands behind back. (Image 303 and 304). Effects: Splitting backaches and lumbago disappear. Liver and spleen toned.
1. One knee bent up, other leg straight. 2. Twist 90 degrees, wrap arm around bent knee, clasp hands behind back. (Image 303 and 304). Effects: Splitting backaches and lumbago disappear. Liver and spleen toned.
Cures splitting backaches, tones liver and spleen.
",,,,
115,Marichyasana IV,Marīchyāsana IV,257,11,,305-306,,208,"115 / Marichyasana IV
Technique: 1. One leg half lotus, other knee bent up. 2. Twist and clasp hands behind back. (Image 305). Effects: Rejuvenates nerves around the navel.
1. One leg half lotus, other knee bent up. 2. Twist and clasp hands behind back. (Image 305). Effects: Rejuvenates nerves around the navel.
Rejuvenates nerves at navel, calcium deposits in shoulders.
",,,,
116,Ardha Matsyendrasana I,Ardha Matsyendrāsana I,259,8,307-310|313-316,311-312,,210,"116 / Ardha Matsyendrasana I
Half Lord of the Fishes pose. Dedicated to Matsyendra. Technique: 1. Bend left knee, sit on foot. 2. Right foot outside left thigh. 3. Twist trunk 90 degrees, wrap arm around knee, clasp hands. (Image 311 and 312). Effects: Range of movement intensified. Lower part of abdomen benefits. Prostate and bladder health.
1. Bend left knee, sit on foot. 2. Right foot outside left thigh. 3. Twist trunk 90 degrees, wrap arm around knee, clasp hands. (Image 311 and 312). Effects: Range of movement intensified. Lower part of abdomen benefits. Prostate and bladder health.
Intensified abdominal squeeze, prostate/bladder health.
",,,,
117,Malasana I,Mālāsana I,262,8,317-320,321,,214,"117 / Malasana I
Garland pose I. Technique: 1. Squat. 2. Wrap arms around bent legs, clasp behind. 3. Rest head on floor. (Image 321). Effects: Relieves backaches.
1. Squat. 2. Wrap arms around bent legs, clasp behind. 3. Rest head on floor. (Image 321). Effects: Relieves backaches.
Tones abdominal organs, relieves backaches.
",,,,
118,Malasana II,Mālāsana II,266,23,,322,,215,"118 / Malasana II
Garland pose II. Technique: 1. Squat. 2. Catch back of ankles, rest forehead on toes. (Image 322). Effects: Soothes back during menstrual periods.
1. Squat. 2. Catch back of ankles, rest forehead on toes. (Image 322). Effects: Soothes back during menstrual periods.
Exercises abdominal organs, relieves menstrual back pain.
",,,,
119,Pasasana,Pāśāna,267,15,323-327,328-329,,217,"119 / Pasasana
Noose pose. Technique: 1. Squat. 2. Twist trunk, wrap arm around both thighs, clasp hands. (Image 328 and 329). Effects: Recommended for persons suffering from diabetes.
1. Squat. 2. Twist trunk, wrap arm around both thighs, clasp hands. (Image 328 and 329). Effects: Recommended for persons suffering from diabetes.
Strengthens ankles, reduces abdominal fat, recommended for diabetes.
",,,,
120,Ardha Matsyendrasana II,Ardha Matsyendrāsana II,270,19,,330-331,,219,"120 / Ardha Matsyendrasana II
Variation of I. Technique: 1. Right foot half lotus at root of left thigh. 2. Twist trunk 90 degrees, grasp right ankle with left hand from behind back. (Image 330 and 331). Effects: Backaches, lumbago and hip pain disappear rapidly.
1. Right foot half lotus at root of left thigh. 2. Twist trunk 90 degrees, grasp right ankle with left hand from behind back. (Image 330 and 331). Effects: Backaches, lumbago and hip pain disappear rapidly.
Greater lateral twist, prevents prostate/bladder hypertrophy.
",,,,
121,Ardha Matsyendrasana III,Ardha Matsyendrāsana III,271,22,,332-333,,220,"121 / Ardha Matsyendrasana III
Technique: 1. Left foot half lotus. 2. Right leg outside left thigh. 3. Twist trunk, hold right foot with left hand. (Image 332 and 333). Effects: massages abdominal organs.
1. Left foot half lotus. 2. Right leg outside left thigh. 3. Twist trunk, hold right foot with left hand. (Image 332 and 333). Effects: massages abdominal organs.
Exercises and massages abdominal organs.
",,,,
122,Paripurna Matsyendrasana,Paripūṛna Matsyendrāsana,273,38,334-335|337-338,336-339,,222,"122 / Paripurna Matsyendrasana
Complete Lord of the Fishes pose. Technique: 1. Maximum lateral twist involving full wrap of arms around legs in lotus and twisted seat. (Image 336 and 339). Effects: Fans gastric fire, destroys terrible diseases, rouses Kundalini.
1. Maximum lateral twist involving full wrap of arms around legs in lotus and twisted seat. (Image 336 and 339). Effects: Fans gastric fire, destroys terrible diseases, rouses Kundalini.
Fans gastric fire, destroys terrible diseases, rouses Kundalini.
",,,,
123,Astavakrasana,Ạṣtāvakrāsana,276,13,340-341,342-343,,225,"123 / Astavakrasana
Dedicated to sage Astavakra. Born crooked in eight places. Technique: 1. Arm balance, legs sideways interlocked. 2. Lower trunk and head parallel to floor. (Image 342 and 343). Effects: Strengthens wrists and arms.
1. Arm balance, legs sideways interlocked. 2. Lower trunk and head parallel to floor. (Image 342 and 343). Effects: Strengthens wrists and arms.
Strengthens wrists and arms, develops abdominal muscles.
",,,,
124,Eka Hasta Bhujasana,Eka Hasta Bjujāsana,278,5,,344,,226,"124 / Eka Hasta Bhujasana
Single hand-arm pose. Technique: 1. Place leg on back of upper arm. 2. Balance on palms. (Image 344). Effects: Exercises abdominal organs.
1. Place leg on back of upper arm. 2. Balance on palms. (Image 344). Effects: Exercises abdominal organs.
Strengthens arms, exercises abdominal organs.
",,,,
125,Dwi Hasta Bhujasana,Dwi Hasta Bhujāsana,279,4,,345,,227,"125 / Dwi Hasta Bhujasana
Both hands-arms pose. Technique: 1. Both legs over upper arms. 2. Balance on hands. (Image 345).
1. Both legs over upper arms. 2. Balance on hands. (Image 345).
Strengthens arms and core.
",,,,
126,Bhujapidasana,Bjujapidāsana,280,8,346-347|349-350,348,,229,"126 / Bhujapidasana
Arm pressure pose. Technique: 1. Back of knees on shoulders. 2. Balance on hands, interlock ankles. (Image 348). Effects: Hands and wrists grow strong.
1. Back of knees on shoulders. 2. Balance on hands, interlock ankles. (Image 348). Effects: Hands and wrists grow strong.
Tones minor arm muscles, strengthens wrists/hands.
",,,,
127,Mayurasana,Mayūrāsana,282,9,351-353,354,,231,"127 / Mayurasana
Peacock pose. Technique: 1. Kneel, palms inverted fingers to feet. 2. Rest diaphragm on elbows. 3. Raise legs, body parallel to floor. (Image 354). Effects: Kills toxins like a peacock destroys snakes. Beneficial for diabetes.
1. Kneel, palms inverted fingers to feet. 2. Rest diaphragm on elbows. 3. Raise legs, body parallel to floor. (Image 354). Effects: Kills toxins like a peacock destroys snakes. Beneficial for diabetes.
Kills toxins, improves digestive power, beneficial for diabetes.
",,,,
128,Padma Mayurasana,Padma Mayūrāsana,284,10,,355,,231,"128 / Padma Mayurasana
Lotus peacock. Technique: Mayurasana with legs in Padmasana. (Image 355).
Mayurasana with legs in Padmasana. (Image 355).
Superior abdominal organ toning.
",,,,
129,Hamsasana,Hạmsāsana,284,10,,356,,232,"129 / Hamsasana
Swan pose. Technique: 1. Similar to Mayurasana but fingers point forward. (Image 356). Effects: Tones abdominal region.
1. Similar to Mayurasana but fingers point forward. (Image 356). Effects: Tones abdominal region.
Stronger work for wrists/forearms, tones abdominal region.
",,,,
130,Pincha Mayurasana,Pīncha Mayūrāsana,285,12,,357,,233,"130 / Pincha Mayurasana
Peacock feather pose. Technique: 1. Balance on elbows and forearms. 2. Swing legs up. (Image 357). Effects: Develops muscles of shoulders and back.
1. Balance on elbows and forearms. 2. Swing legs up. (Image 357). Effects: Develops muscles of shoulders and back.
Develops shoulders and back, tones spine.
",,,,
131,Sayanasana,Sayanāsana,287,15,,358,,233,"131 / Sayanasana
Repose posture. Technique: Stage 2 of Pincha Mayurasana, cupping palms under chin. (Image 358).
Stage 2 of Pincha Mayurasana, cupping palms under chin. (Image 358).
Advanced balance, extremely firm stability.
",,,,
132,Adho Mukha Vrksasana,Adho Mukha Ṿrḳsāsana,287,10,,359,,235,"132 / Adho Mukha Vrksasana
Downward facing tree. Technique: 1. Vertical hand balance. 2. Balance in middle of room. (Image 359). Effects: Harmoniously develops the body.
1. Vertical hand balance. 2. Balance in middle of room. (Image 359). Effects: Harmoniously develops the body.
Harmonious development of body, strengthens shoulders/wrists.
",,,,
133,Kurmasana,Kūrmāsana,288,14,360-362,363-364,,236,"133 / Kurmasana
Tortoise incarnation. Technique: 1. Legs wide. 2. Insert hands under knees, stretch sideways. 3. Chin/chest to floor. (Image 363 and 364). Effects: Mind becomes calm and composed. Prepares aspirant for Pratyahara.
1. Legs wide. 2. Insert hands under knees, stretch sideways. 3. Chin/chest to floor. (Image 363 and 364). Effects: Mind becomes calm and composed. Prepares aspirant for Pratyahara.
Withdraws senses (Pratyahara), develops mental equanimity.
",,,,
134,Supta Kurmasana,Supta Kūrmāsana,291,14,365-367,368,,238,"134 / Supta Kurmasana
Sleeping tortoise. Technique: 1. Clasp hands behind back, interlock feet over head. 2. Forehead on floor. (Image 368). Effects: Soothes nerves of brain.
1. Clasp hands behind back, interlock feet over head. 2. Forehead on floor. (Image 368). Effects: Soothes nerves of brain.
Soothes brain nerves, provides extreme refreshment.
",,,,
135,Eka Pada Sirsasana,Eka Pāda Śīṛsāsana,292,15,369-370,371,,239,"135 / Eka Pada Sirsasana
Single leg-behind-head. Technique: 1. Place leg on back of neck. 2. Fold palms at chest. (Image 371). Effects: Digestive power increases.
1. Place leg on back of neck. 2. Fold palms at chest. (Image 371). Effects: Digestive power increases.
Strengthens neck/back, increases digestive power.
",,,,
136,Skandasana,Skandāsana,294,16,,372,,241,"136 / Skandasana
Skanda (war god) pose. Technique: 1. Leg behind neck. 2. Bend trunk forward, hold outstretched leg, chin to knee. (Image 372).
1. Leg behind neck. 2. Bend trunk forward, hold outstretched leg, chin to knee. (Image 372).
Enables deeper abdominal contraction, spine exercise.
",,,,
137,Buddhasana,Buddhāsana,295,22,,373,,242,"137 / Buddhasana
Enlightened pose. Technique: 1. Leg behind neck. 2. Reach opposite arm around back to clasp ankle. (Image 373).
1. Leg behind neck. 2. Reach opposite arm around back to clasp ankle. (Image 373).
Shoulder and neck flexibility, intense stretch.
",,,,
138,Kapilasana,Kapilāsana,296,22,,374,,243,"138 / Kapilasana
Sage Kapila's pose. Technique: Buddhasana fold forward, chin to knee. (Image 374).
Buddhasana fold forward, chin to knee. (Image 374).
Forward fold combined with leg-behind-head complexity.
",,,,
139,Bhairavasana,Bhairavāsana,296,16,,375,,242,"139 / Bhairavasana
Terrible aspect of Siva. Technique: Lie on back with leg behind neck. (Image 375).
Lie on back with leg behind neck. (Image 375).
Supine hip and spine stretch.
",,,,
140,Kala Bhairavasana,Kāla Bhairavāsana,297,19,376-377,378,,243,"140 / Kala Bhairavasana
Destroyer of universe pose. Technique: Balance body sideways on one palm, one leg behind neck. (Image 378).
Balance body sideways on one palm, one leg behind neck. (Image 378).
Named after Siva the destroyer, intense arm balancer.
",,,,
141,Chakorasana,Chakorāsana,298,20,,379-380,,244,"141 / Chakorasana
Bird feeding on moonbeams. Technique: Arm balance on palms, one leg behind neck, other leg up at 60 degrees. (Image 379 and 380).
Arm balance on palms, one leg behind neck, other leg up at 60 degrees. (Image 379 and 380).
Develops powerful wrists and core compression.
",,,,
142,Durvasasana,Dūrvāsāna,299,21,381-382,383,,246,"142 / Durvasasana
Irascible sage pose. Technique: Standing on one leg, other leg behind back of neck. (Image 383).
Standing on one leg, other leg behind back of neck. (Image 383).
Extreme hip flexibility, advanced standing balance.
",,,,
143,Ruchikasana,Ruchikāsana,301,18,,384-385,,247,"143 / Ruchikasana
Sage Richika's pose. Technique: Durvasasana fold forward, palms to floor. (Image 384 and 385). Effects of Eka Pada Sirsasana cycle: Tones Muscular/nervous/circulatory systems. Increases energy in chakras.
Durvasasana fold forward, palms to floor. (Image 384 and 385). Effects of Eka Pada Sirsasana cycle: Tones Muscular/nervous/circulatory systems. Increases energy in chakras.
Intense forward stretch in standing balance.
",,,,
144,Viranchyasana I,Viranchyāsana I,302,19,,386-387,,248,"144 / Viranchyasana I
Dedicated to Brahma. Technique: 1. One leg half lotus, other leg behind neck. 2. Clasp hands behind back. (Image 386 and 387).
1. One leg half lotus, other leg behind neck. 2. Clasp hands behind back. (Image 386 and 387).
Named after Brahma, strengthens back/neck.
",,,,
145,Viranchyasana II,Viranchyāsana II,304,10,,388,,249,"145 / Viranchyasana II
Technique: One leg Virasana, other leg behind neck. (Image 388). Effects: Shoulder movements freer.
One leg Virasana, other leg behind neck. (Image 388). Effects: Shoulder movements freer.
Combines Virasana with leg-behind-head complexity.
",,,,
146,Yoganidrasana,Yoganidrāsana,304,18,389-390,391,,250,"146 / Yoganidrasana
Yogic sleep. Technique: 1. Lie flat. 2. Both legs behind neck, ankles locked. 3. Clasp hands behind back. (Image 391). Effects: Warms up the body rapidly. Best front bending pose. Exercises gonads.
1. Lie flat. 2. Both legs behind neck, ankles locked. 3. Clasp hands behind back. (Image 391). Effects: Warms up the body rapidly. Best front bending pose. Exercises gonads.
Warms body rapidly, tones all abdominal organs, energy storage.
",,,,
147,Dwi Pada Sirasana,Dwi Pāda Śīṛsāsana,307,24,392,393-394,,253,"147 / Dwi Pada Sirasana
Both feet-behind-head. Technique: 1. Seated balance on tail-bone. 2. Both legs behind neck, ankles interlocked. (Image 393).
1. Seated balance on tail-bone. 2. Both legs behind neck, ankles interlocked. (Image 393).
Tightly contracts lungs/abdominal muscles, vertical balance.
",,,,
148,Tittibhasana,Tittibhāsana,308,22,392-394,395,,254,"148 / Tittibhasana
Firefly pose. Technique: Arm balance, both legs over upper arms, legs vertically up. (Image 395).
Arm balance, both legs over upper arms, legs vertically up. (Image 395).
Powerful arm strength and core stability.
",,,,
149,Vasisthasana,Vasịṣthāsana,309,18,396-397,398,,256,"149 / Vasisthasana
Sage Vasistha's pose. Technique: 1. Side plank balance. 2. Catch big toe, pull arm/leg up vertically. (Image 398). Effects: Strengthens wrists.
1. Side plank balance. 2. Catch big toe, pull arm/leg up vertically. (Image 398). Effects: Strengthens wrists.
Strengthens wrists, tones lumbar and coccyx spine.
",,,,
150,Kasyapasana,Kaśypāsana,311,19,,399-400,,257,"150 / Kasyapasana
Progenitor pose. Technique: Side plank, top foot in half lotus, catch big toe from behind back. (Image 399 and 400).
Side plank, top foot in half lotus, catch big toe from behind back. (Image 399 and 400).
Relieves sacral stiffness, strengthens hands.
",,,,
151,Visvamitrasana,Viśvāmitrāsana,313,20,401-402,403,,258,"151 / Visvamitrasana
Sage Visvamitra's pose. Technique: 1. Balance on one hand and one foot. 2. One leg over same-side arm, other arm up vertically. (Image 403).
1. Balance on one hand and one foot. 2. One leg over same-side arm, other arm up vertically. (Image 403).
Strengthens hands/abdominal organs, thigh exercise.
",,,,
152,Bakasana,Bakāsana,315,9,404-405|407-409,406|410,,260,"152 / Bakasana
Crane pose. Technique: 1. Balance on hands, shins on back of upper arms. 2. Stretch arms straight. (Image 406 and 410).
1. Balance on hands, shins on back of upper arms. 2. Stretch arms straight. (Image 406 and 410).
Strengthens arms and abdominal organs.
",,,,
153,Parsva Bakasana,Pārśva Bakāsana,318,16,411,412,,263,"153 / Parsva Bakasana
Side crane. Technique: Both knees on back of opposite upper arm near armpit. (Image 412). Effects: Intestines grow stronger.
Both knees on back of opposite upper arm near armpit. (Image 412). Effects: Intestines grow stronger.
Develops lateral abdominal muscles, strengthens arms.
",,,,
154,Urdhva Kukkutasana,Ūrdhva Kukkutāsana,320,18,413-416,417-419,,265,"154 / Urdhva Kukkutasana
Upward cock pose. Technique: Lotus headstand transition to arm balance on hands. (Image 417-419). Effects: Spine stretched fully.
Lotus headstand transition to arm balance on hands. (Image 417-419). Effects: Spine stretched fully.
Intense full spinal stretch, core strength.
",,,,
155,Parsva Kukkutasana,Pārśva Kukkụtāsana,322,24,420-423,424|424a|425|425a,,268,"155 / Parsva Kukkutasana
Side cock pose. Technique: Lotus headstand, twist, rest thigh on opposite upper arm, lift. (Image 424 and 425).
Lotus headstand, twist, rest thigh on opposite upper arm, lift. (Image 424 and 425).
Lateral spinal twist, increased vital power.
",,,,
156,Galavasana,Gālavāsana,325,16,426,427-428,,271,"156 / Galavasana
Sage Galava's pose. Technique: Lotus headstand, rest crossed shins on one upper arm, lift. (Image 427 and 428). Effects: Combined effects of Sirsasana, Padmasana and Paschimottanasana.
Lotus headstand, rest crossed shins on one upper arm, lift. (Image 427 and 428). Effects: Combined effects of Sirsasana, Padmasana and Paschimottanasana.
Combined effects of headstand and lotus forward fold.
",,,,
157,Eka Pada Galavasana,Eka Pāda Gālavāsana,327,21,429-430|432,431|433,,272,"157 / Eka Pada Galavasana
One-leg Galava. Technique: Balance on hands, one leg half lotus on arms, other leg straight back in air. (Image 431 and 433).
Balance on hands, one leg half lotus on arms, other leg straight back in air. (Image 431 and 433).
Strengthens wrists, massages abdominal organs.
",,,,
158,Dwi Pada Koundinyasana,Dwi Pāda Koụṇdinyāsana,330,22,434-437,438,"Typo in book: final pose is 438, not 458",275,"158 / Dwi Pada Koundinyasana
Sage Koundinya's pose. Technique: 1. Balance on hands. 2. Legs sideways together parallel to floor on one arm. (Image 438). Effects: Colon moves properly.
1. Balance on hands. 2. Legs sideways together parallel to floor on one arm. (Image 438). Effects: Colon moves properly.
Aids colon elimination, improves spinal elasticity.
",,,,
159,Eka Pada Koundinyasana I,Eka Pāda Koụṇdinyāsana I,332,23,439-440,441,,276,"159 / Eka Pada Koundinyasana I
One-leg Koundinya I. Technique: Balance on hands, one leg forward on arm, other leg back in air. (Image 441).
Balance on hands, one leg forward on arm, other leg back in air. (Image 441).
Rejuvenates and strengthens the spine.
",,,,
160,Eka Pada Koundinyasana II,Eka Pāda Koụṇdinyāsana II,334,24,444,442-443,,277,"160 / Eka Pada Koundinyasana II
One-leg Koundinya II. Technique: Balance on hands, one leg sideways across arm, other back. (Image 442 and 443).
Balance on hands, one leg sideways across arm, other back. (Image 442 and 443).
Strenuous arm and thigh balancer.
",,,,
161,Eka Pada Bakasana I,Eka Pāda Bakāsana I,336,26,445,446-447,,278,"161 / Eka Pada Bakasana I
One-leg crane I. Technique: One shin on arm, other leg straight back in air parallel to floor. (Image 446 and 447). Effects: Abdominal organs contracted on one side.
One shin on arm, other leg straight back in air parallel to floor. (Image 446 and 447). Effects: Abdominal organs contracted on one side.
Deep unilateral core contraction, exercises organs.
",,,,
162,Eka Pada Bakasana II,Eka Pāda Bakāsana II,338,25,448-450,451-452,,280,"162 / Eka Pada Bakasana II
One-leg crane II. Technique: One leg crane style, other leg straight forward parallel to floor. (Image 451 and 452). Effects: Body acts as weight-lifting apparatus.
One leg crane style, other leg straight forward parallel to floor. (Image 451 and 452). Effects: Body acts as weight-lifting apparatus.
Strengthens core, hands, chest, and back.
",,,,
163,Yogadandasana,Yoga Mudrāsana,340,19,453-455,456,,283,"163 / Yogadandasana
Staff of a Yogin. Technique: Sit with one foot under armpit like a crutch. (Image 456). Effects: Restful pose.
Sit with one foot under armpit like a crutch. (Image 456). Effects: Restful pose.
Rests spine and relaxes body, ankle elasticity.
",,,,
164,Supta Bhekasana,Supta Bhekāsana,343,21,457,458,,284,"164 / Supta Bhekasana
Reclining frog. Technique: Virasana recline, arch spine, crown of head to floor, hands on feet. (Image 458). Effects: Internal derangement of knee joints relieved.
Virasana recline, arch spine, crown of head to floor, hands on feet. (Image 458). Effects: Internal derangement of knee joints relieved.
Tones spine, improves knee/ankle circulation, cures flat feet.
",,,,
165,Mulabhandasana,Mūlabhandāsana,344,32,459-461,462-463,,286,"165 / Mulabhandasana
Root lock. Technique: Seated, join soles/heels, lift body, rotate feet so heels point forward. (Image 462 and 463). Effects: Controls excessive sexual desire.
Seated, join soles/heels, lift body, rotate feet so heels point forward. (Image 462 and 463). Effects: Controls excessive sexual desire.
Controls sexual desire, sublimates energy, stills the mind.
",,,,
166,Vamadevasana I,Vāmadevāsana I,346,15,464,465,,288,"166 / Vamadevasana I
Dedicated to sage Vamadeva/Siva. Technique: One leg Mulabandhasana, other Padmasana, clasp toe. (Image 465).
One leg Mulabandhasana, other Padmasana, clasp toe. (Image 465).
Cures leg stiffness, keeps genital organs healthy.
",,,,
167,Vamadevasana II,Vāmadevāsana II,347,15,,466,,289,"167 / Vamadevasana II
Technique: One leg Bhekasana, other Padmasana, join soles. (Image 466).
One leg Bhekasana, other Padmasana, join soles. (Image 466).
Relieves leg pain and stiffness, improves digestion.
",,,,
